_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_price_listing,rent_price_unit,rent_type,resblock_name,type
5c9f7edf118dacbcd7cddeed,1,2,阎村,北京,房山,,2,精装,整租 · 绿城百合公寓南北通透两居室，中楼层采光充沛。,39.715035,2室2厅1卫,116.077893,https://m.lianjia.com/chuzu/bj/zufang/BJ2162722365015072768.html,3500,元/月,200600000001,绿城百合公寓栖霞苑,整租
5c9f7e94118dacbcd7cddc23,1,2,良乡,北京,房山,,1,集中供暖 新上 随时看房,整租 ·   文化路 中楼层 两居室 南北通透 可拎包入住,39.741485,2室1厅1卫,116.150848,https://m.lianjia.com/chuzu/bj/zufang/BJ2219462151759216640.html,3000,元/月,200600000001,文化路社区,整租
5c9f7ace118dacbcd7cdc06f,2,3,天通苑,北京,昌平,,1,精装 集中供暖 双卫生间,整租 · 天通苑东三区 3室1厅 8000元,40.077726,3室1厅2卫,116.445785,https://m.lianjia.com/chuzu/bj/zufang/BJ2197566634682753024.html,8000,元/月,200600000001,天通苑东三区,整租
5c9f6ce7118dacbcd7cd4672,1,1,马甸,北京,海淀,373,1,近地铁 精装 集中供暖,整租 ·   牡丹园 塔院小区  北三环中路43号院一居 牡丹园地铁,39.974453,1室1厅1卫,116.378612,https://m.lianjia.com/chuzu/bj/zufang/BJ2213455117058056192.html,6500,元/月,200600000001,北三环中路43号院,整租
5c9f727c118dacbcd7cd7821,1,2,望京,北京,朝阳,241,1,近地铁 集中供暖 新上,望京花园西区 2室1厅 8500元,40.012847,2室1厅1卫,116.476868,https://m.lianjia.com/chuzu/bj/zufang/BJ2220061626089086976.html,8500,元/月,200600000000,望京花园西区,整租
5c9f7188118dacbcd7cd6f09,1,1,双井,北京,朝阳,817,1,近地铁 精装 集中供暖 随时看房,整租 ·   精装一居室，北向高层，免中介费，诚意出租,39.903804,1室1厅1卫,116.476447,https://m.lianjia.com/chuzu/bj/zufang/BJ2197664716779175936.html,8000,元/月,200600000001,苹果社区南区,整租
5c9f7efd118dacbcd7cde004,1,1,滨河西区,北京,门头沟,,1,集中供暖 随时看房,整租 · 环境优美 伴山御景 交通便利 阜石路口,39.940869,2房间1卫,116.119726,https://m.lianjia.com/chuzu/bj/zufang/BJ2125256423720878080.html,4300,元/月,200600000001,熙旺中心,整租
5c9f7a25118dacbcd7cdba9b,3,6,北七家,北京,昌平,,2,精装 集中供暖,整租 · 蓬莱苑精装修独栋，家具家电齐全，业主诚心出租！,40.115048,6室2厅3卫,116.459648,https://m.lianjia.com/chuzu/bj/zufang/BJ1980808395955118080.html,25000,元/月,200600000001,蓬莱苑A区,整租
5c9f7b3a118dacbcd7cdc373,1,2,高米店南,北京,大兴,,1,集中供暖 随时看房,整租 ·   康盛园小区 南北通透   两居室,39.769022,2室1厅1卫,116.320594,https://m.lianjia.com/chuzu/bj/zufang/BJ2217854582007545856.html,4400,元/月,200600000001,康盛园,整租
5c9f7934118dacbcd7cdb277,1,2,武夷花园,北京,通州,,1,精装 集中供暖,整租 · 荔景园 2室1厅 4800元,39.91852,2室1厅1卫,116.709828,https://m.lianjia.com/chuzu/bj/zufang/BJ2203322381802405888.html,4800,元/月,200600000001,荔景园,整租
